,Inning,TopBottom,1B,2B,3B,Score,Outs,P,b1,b2,b3,WE_0,avg_runs,avg_wins,WPA,Scenario
322,8,Top,1,1,0,1,1,R,L,L,L,0.655,0.87186065,0.7228735,0.0678735,1101LLL8R
319,8,Top,0,0,1,1,0,R,L,L,L,0.542,1.4120386,0.5253135,-0.0166865,0010LLL8R
450,9,Top,1,1,0,1,2,L,R,R,L,0.859,0.4403764,0.850407,-0.008593,1102RRL9L
557,8,Top,0,1,0,1,0,L,R,L,L,0.605,1.21566715,0.5987065,-0.0062935,0100RLL8L
293,9,Top,0,1,0,1,0,R,L,L,L,0.644,1.20691755,0.6014725,-0.0425275,0100LLL9R
283,8,Top,1,1,1,1,2,R,L,R,L,0.691,0.71719845,0.757994,0.066994,1112LRL8R
477,8,Top,0,1,0,1,2,L,R,R,L,0.788,0.3455882,0.8704045,0.0824045,0102RRL8L
598,9,Top,0,1,1,1,2,L,L,R,R,0.793,0.5546543,0.800244,0.007244,0112LRR9L
348,9,Top,1,0,1,1,1,R,L,L,R,0.62,1.06504625,0.645764,0.025764,1011LLR9R
316,8,Top,1,0,1,1,0,R,L,L,L,0.462,1.73985505,0.4553375,-0.0066625,1010LLL8R
295,9,Top,0,0,1,1,0,R,L,L,L,0.559,1.4193529,0.5249515,-0.0340485,0010LLL9R
300,9,Top,1,0,1,1,1,R,L,L,L,0.62,1.07823955,0.6436215,0.0236215,1011LLL9R
473,8,Top,1,0,0,1,2,L,R,R,L,0.816,0.212033,0.9214855,0.1054855,1002RRL8L
281,8,Top,1,0,0,1,2,R,L,R,L,0.816,0.16885665,0.9244055,0.1084055,1002LRL8R
460,8,Top,1,0,1,1,0,L,R,R,L,0.462,1.77071525,0.4421595,-0.0198405,1010RRL8L
546,9,Top,1,1,0,1,2,L,R,L,L,0.859,0.47163885,0.839506,-0.019494,1102RLL9L
276,8,Top,1,0,1,1,1,R,L,R,L,0.586,1.07146165,0.6461635,0.0601635,1011LRL8R
377,8,Top,1,0,0,1,2,R,L,L,R,0.816,0.2263451,0.920552,0.104552,1002LLR8R
264,8,Top,0,0,0,1,0,R,L,R,L,0.753,0.467135,0.849252,0.096252,0000LRL8R
353,9,Top,1,0,0,1,2,R,L,L,R,0.924,0.20140995,0.929204,0.005204,1002LLR9R
440,9,Top,0,0,0,1,1,L,R,R,L,0.912,0.26287425,0.911316,-0.000684,0001RRL9L
212,9,Top,1,0,1,1,2,R,L,R,R,0.833,0.4144867,0.860117,0.027117,1012LRR9R
455,9,Top,0,0,1,1,2,L,R,R,L,0.867,0.3474778,0.87464,0.00764,0012RRL9L
321,8,Top,1,0,0,1,1,R,L,L,L,0.744,0.4666392,0.8431415,0.0991415,1001LLL8R
481,9,Top,1,0,0,1,0,L,R,L,R,0.725,0.81699295,0.738626,0.013626,1000RLR9L
530,9,Top,1,1,0,1,0,L,R,L,L,0.559,1.4342213,0.564319,0.005319,1100RLL9L
404,9,Top,1,0,1,1,2,L,R,R,R,0.833,0.43491045,0.854482,0.021482,1012RRR9L
453,9,Top,0,1,0,1,2,L,R,R,L,0.887,0.34314305,0.8777475,-0.0092525,0102RRL9L
